id;message_main_attachment_id;currency_id;company_id;group_id;root_id;create_uid;write_uid;name;code;account_type;internal_group;note;deprecated;include_initial_balance;reconcile;is_off_balance;non_trade;create_date;write_date
95;;2;3;;49051;1;1;Impuesto por cobrar;132000;asset_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
96;;2;3;;49052;1;1;Pagos anticipados;141000;asset_prepayments;asset;;false;true;false;false;false;07-07-2023;07-07-2023
97;;2;3;;49053;1;1;Activo fijo;151000;asset_fixed;asset;;false;true;false;false;false;07-07-2023;07-07-2023
98;;2;3;;49057;1;1;Activos no corrientes;191000;asset_non_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
99;;2;3;;50048;1;1;Pasivo circulante;201000;liability_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
100;;2;3;;50049;1;1;Cuenta por pagar;211000;liability_payable;liability;;false;true;true;false;false;07-07-2023;07-07-2023
101;;2;3;;50049;1;1;facturas a recibir;211100;liability_current;liability;;false;true;true;false;false;07-07-2023;07-07-2023
102;;2;3;;50053;1;1;Impuesto Recibido;251000;liability_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
103;;2;3;;50053;1;1;Impuesto a pagar;252000;liability_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
104;;2;3;;50057;1;1;Pasivos no corrientes;291000;liability_non_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
105;;2;3;;51048;1;1;Capital;301000;equity;equity;;false;true;false;false;false;07-07-2023;07-07-2023
106;;2;3;;51048;1;1;Dividendos;302000;equity;equity;;false;true;false;false;false;07-07-2023;07-07-2023
107;;2;3;;52048;1;1;Venta de productos;400000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
108;;2;3;;52052;1;1;Ganancia cambiaria;441000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
109;;2;3;;52052;1;1;Ganancia por diferencia en efectivo;442000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
110;;2;3;;52053;1;1;Otros Ingresos;450000;income_other;income;;false;false;false;false;false;07-07-2023;07-07-2023
111;;2;3;;53048;1;1;Costo de los bienes vendidos;500000;expense_direct_cost;expense;;false;false;false;false;false;07-07-2023;07-07-2023
112;;2;3;;54048;1;1;Gastos;600000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
