cuentaKey;cuentaId;codigoCuenta;nombreCuenta;tipoCuenta;grupoCuenta;descripcionCuenta
95;138;132000;Impuesto por cobrar;asset_current;asset;Sin Descripcion
96;139;141000;Pagos anticipados;asset_prepayments;asset;Sin Descripcion
97;140;151000;Activo fijo;asset_fixed;asset;Sin Descripcion
98;141;191000;Activos no corrientes;asset_non_current;asset;Sin Descripcion
99;142;201000;Pasivo circulante;liability_current;liability;Sin Descripcion
100;143;211000;Cuenta por pagar;liability_payable;liability;Sin Descripcion
101;144;211100;facturas a recibir;liability_current;liability;Sin Descripcion
102;145;251000;Impuesto Recibido;liability_current;liability;Sin Descripcion
103;146;252000;Impuesto a pagar;liability_current;liability;Sin Descripcion
104;147;291000;Pasivos no corrientes;liability_non_current;liability;Sin Descripcion
105;148;301000;Capital;equity;equity;Sin Descripcion
106;149;302000;Dividendos;equity;equity;Sin Descripcion
107;150;400000;Venta de productos;income;income;Sin Descripcion
108;151;441000;Ganancia cambiaria;income;income;Sin Descripcion
109;152;442000;Ganancia por diferencia en efectivo;income;income;Sin Descripcion
110;153;450000;Otros Ingresos;income_other;income;Sin Descripcion
111;154;500000;Costo de los bienes vendidos;expense_direct_cost;expense;Sin Descripcion
112;155;600000;Gastos;expense;expense;Sin Descripcion
113;156;611000;Compra de Equipos;expense;expense;Sin Descripcion
114;157;612000;Alquiler;expense;expense;Sin Descripcion
115;158;620000;Comisiones bancarias;expense;expense;Sin Descripcion
116;159;630000;Gastos Salariales;expense;expense;Sin Descripcion
117;160;641000;Pérdida cambiaria;expense;expense;Sin Descripcion
118;161;642000;Pérdida de diferencia de efectivo;expense;expense;Sin Descripcion
119;162;961000;Gastos de RD;expense;expense;Sin Descripcion
120;163;962000;Gastos de venta;expense;expense;Sin Descripcion
121;164;101300;Cuenta por cobrar (PoS);asset_receivable;asset;Sin Descripcion
122;165;643000;Pérdida de descuento en efectivo;expense;expense;Sin Descripcion
123;166;443000;Ganancia de descuento en efectivo;income;income;Sin Descripcion
124;1;101701;Transferencia de liquidez;asset_current;asset;Sin Descripcion
125;19;301000;Capital;equity;equity;Sin Descripcion
126;2;101000;Activos circulantes;asset_current;asset;Sin Descripcion
127;3;110100;Valoración de acciones;asset_current;asset;Sin Descripcion
128;4;110200;Stock provisional (recibido);asset_current;asset;Sin Descripcion
129;5;110300;Stock provisional (entregado);asset_current;asset;Sin Descripcion
130;6;121000;Cuentas por cobrar;asset_receivable;asset;Sin Descripcion
131;7;121100;Productos a recibir;asset_current;asset;Sin Descripcion
132;8;131000;Impuesto pagado;asset_current;asset;Sin Descripcion
133;9;132000;Impuesto por cobrar;asset_current;asset;Sin Descripcion
134;10;141000;Pagos anticipados;asset_prepayments;asset;Sin Descripcion
135;11;151000;Activo fijo;asset_fixed;asset;Sin Descripcion
136;12;191000;Activos no corrientes;asset_non_current;asset;Sin Descripcion
137;13;201000;Pasivo circulante;liability_current;liability;Sin Descripcion
138;39;101402;Recibos pendientes;asset_current;asset;Sin Descripcion
139;40;101403;Pagos pendientes;asset_current;asset;Sin Descripcion
140;41;101501;Efectivo;asset_cash;asset;Sin Descripcion
141;42;101404;Banco;asset_cash;asset;Sin Descripcion
142;43;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity;Sin Descripcion
143;14;211000;Cuenta por pagar;liability_payable;liability;Sin Descripcion
144;15;211100;facturas a recibir;liability_current;liability;Sin Descripcion
145;16;251000;Impuesto Recibido;liability_current;liability;Sin Descripcion
146;17;252000;Impuesto a pagar;liability_current;liability;Sin Descripcion
147;18;291000;Pasivos no corrientes;liability_non_current;liability;Sin Descripcion
148;20;302000;Dividendos;equity;equity;Sin Descripcion
149;21;400000;Venta de productos;income;income;Operating Activities
150;22;441000;Ganancia cambiaria;income;income;Financing Activities
151;23;442000;Ganancia por diferencia en efectivo;income;income;Investing & Extraordinary Activities
152;24;450000;Otros Ingresos;income_other;income;Sin Descripcion
153;25;500000;Costo de los bienes vendidos;expense_direct_cost;expense;Operating Activities
154;26;600000;Gastos;expense;expense;Operating Activities
155;27;611000;Compra de Equipos;expense;expense;Investing & Extraordinary Activities
156;28;612000;Alquiler;expense;expense;Investing & Extraordinary Activities
157;29;620000;Comisiones bancarias;expense;expense;Financing Activities
158;30;630000;Gastos Salariales;expense;expense;Operating Activities
159;31;641000;Pérdida cambiaria;expense;expense;Financing Activities
160;32;642000;Pérdida de diferencia de efectivo;expense;expense;Investing & Extraordinary Activities
161;33;961000;Gastos de RD;expense;expense;Investing & Extraordinary Activities
162;34;962000;Gastos de venta;expense;expense;Investing & Extraordinary Activities
163;35;101300;Cuenta por cobrar (PoS);asset_receivable;asset;Sin Descripcion
164;36;643000;Pérdida de descuento en efectivo;expense;expense;Sin Descripcion
165;37;443000;Ganancia de descuento en efectivo;income;income;Sin Descripcion
166;38;101401;cuenta transitoria;asset_current;asset;Sin Descripcion
167;167;101401;cuenta transitoria;asset_current;asset;Sin Descripcion
168;168;101402;Recibos pendientes;asset_current;asset;Sin Descripcion
169;169;101403;Pagos pendientes;asset_current;asset;Sin Descripcion
170;170;101501;Efectivo;asset_cash;asset;Sin Descripcion
171;171;101404;Banco;asset_cash;asset;Sin Descripcion
172;172;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity;Sin Descripcion
173;173;101701;Transferencia de liquidez;asset_current;asset;Sin Descripcion
174;174;101000;Activos circulantes;asset_current;asset;Sin Descripcion
175;175;110100;Valoración de acciones;asset_current;asset;Sin Descripcion
176;176;110200;Stock provisional (recibido);asset_current;asset;Sin Descripcion
177;177;110300;Stock provisional (entregado);asset_current;asset;Sin Descripcion
178;178;121000;Cuentas por cobrar;asset_receivable;asset;Sin Descripcion
179;179;121100;Productos a recibir;asset_current;asset;Sin Descripcion
180;180;131000;Impuesto pagado;asset_current;asset;Sin Descripcion
181;181;132000;Impuesto por cobrar;asset_current;asset;Sin Descripcion
182;182;141000;Pagos anticipados;asset_prepayments;asset;Sin Descripcion
183;183;151000;Activo fijo;asset_fixed;asset;Sin Descripcion
184;184;191000;Activos no corrientes;asset_non_current;asset;Sin Descripcion
185;185;201000;Pasivo circulante;liability_current;liability;Sin Descripcion
186;186;211000;Cuenta por pagar;liability_payable;liability;Sin Descripcion
187;187;211100;facturas a recibir;liability_current;liability;Sin Descripcion
188;188;251000;Impuesto Recibido;liability_current;liability;Sin Descripcion
189;189;252000;Impuesto a pagar;liability_current;liability;Sin Descripcion
190;190;291000;Pasivos no corrientes;liability_non_current;liability;Sin Descripcion
191;191;301000;Capital;equity;equity;Sin Descripcion
192;192;302000;Dividendos;equity;equity;Sin Descripcion
193;193;400000;Venta de productos;income;income;Sin Descripcion
194;194;441000;Ganancia cambiaria;income;income;Sin Descripcion
195;195;442000;Ganancia por diferencia en efectivo;income;income;Sin Descripcion
196;196;450000;Otros Ingresos;income_other;income;Sin Descripcion
197;197;500000;Costo de los bienes vendidos;expense_direct_cost;expense;Sin Descripcion
198;198;600000;Gastos;expense;expense;Sin Descripcion
199;199;611000;Compra de Equipos;expense;expense;Sin Descripcion
200;200;612000;Alquiler;expense;expense;Sin Descripcion
201;201;620000;Comisiones bancarias;expense;expense;Sin Descripcion
202;202;630000;Gastos Salariales;expense;expense;Sin Descripcion
203;203;641000;Pérdida cambiaria;expense;expense;Sin Descripcion
204;204;642000;Pérdida de diferencia de efectivo;expense;expense;Sin Descripcion
205;205;961000;Gastos de RD;expense;expense;Sin Descripcion
206;206;962000;Gastos de venta;expense;expense;Sin Descripcion
207;207;101300;Cuenta por cobrar (PoS);asset_receivable;asset;Sin Descripcion
208;208;643000;Pérdida de descuento en efectivo;expense;expense;Sin Descripcion
209;209;443000;Ganancia de descuento en efectivo;income;income;Sin Descripcion
210;210;101401;cuenta transitoria;asset_current;asset;Sin Descripcion
211;211;101402;Recibos pendientes;asset_current;asset;Sin Descripcion
212;212;101403;Pagos pendientes;asset_current;asset;Sin Descripcion
213;213;101501;Efectivo;asset_cash;asset;Sin Descripcion
214;214;101404;Banco;asset_cash;asset;Sin Descripcion
215;215;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity;Sin Descripcion
216;216;101010;Activos circulantes (copia);asset_current;asset;Sin Descripcion
